x,y
0.0004256680,0.7053316611
0.0004276680,0.7020929947
0.0004296680,0.6987543058
0.0004316680,0.6953159868
0.0004336680,0.6917784477
0.0004356680,0.6881421157
0.0004376680,0.6844074352
0.0004396680,0.6805748678
0.0004416680,0.6766448921
0.0004436680,0.6726180038
0.0004456680,0.6684947152
0.0004476680,0.6642755556
0.0004496680,0.6599610708
0.0004516680,0.6555518233
0.0004536680,0.6510483918
0.0004556680,0.6464513716
0.0004576680,0.6417613741
0.0004596680,0.6369790267
0.0004616680,0.6321049729
0.0004636680,0.6271398722
0.0004656680,0.6220843996
0.0004676680,0.6169392458
0.0004696680,0.6117051171
0.0004716680,0.6063827350
0.0004736680,0.6009728365
0.0004756680,0.5954761734
0.0004776680,0.5898935127
0.0004796680,0.5842256361
0.0004816680,0.5784733401
0.0004836680,0.5726374357
0.0004856680,0.5667187483
0.0004876680,0.5607181175
0.0004896680,0.5546363973
0.0004916680,0.5484744553
0.0004936680,0.5422331731
0.0004956680,0.5359134461
0.0004976680,0.5295161829
0.0004996680,0.5230423058
0.0005016680,0.5164927499
0.0005036680,0.5098684637
0.0005056680,0.5031704083
0.0005076680,0.4963995576
0.0005096680,0.4895568982
0.0005116680,0.4826434288
0.0005136680,0.4756601605
0.0005156680,0.4686081162
0.0005176680,0.4614883309
0.0005196680,0.4543018511
0.0005216680,0.4470497349
0.0005236680,0.4397330516
0.0005256680,0.4323528819
0.0005276680,0.4249103170
0.0005296680,0.4174064594
0.0005316680,0.4098424218
0.0005336680,0.4022193274
0.0005356680,0.3945383098
0.0005376680,0.3868005122
0.0005396680,0.3790070881
0.0005416680,0.3711592004
0.0005436680,0.3632580214
0.0005456680,0.3553047327
0.0005476680,0.3473005250
0.0005496680,0.3392465978
0.0005516680,0.3311441593
0.0005536680,0.3229944261
0.0005556680,0.3147986230
0.0005576680,0.3065579830
0.0005596680,0.2982737468
0.0005616680,0.2899471629
0.0005636680,0.2815794869
0.0005656680,0.2731719821
0.0005676680,0.2647259183
0.0005696680,0.2562425726
0.0005716680,0.2477232283
0.0005736680,0.2391691753
0.0005756680,0.2305817095
0.0005776680,0.2219621330
0.0005796680,0.2133117535
0.0005816680,0.2046318841
0.0005836680,0.1959238435
0.0005856680,0.1871889552
0.0005876680,0.1784285478
0.0005896680,0.1696439546
0.0005916680,0.1608365129
0.0005936680,0.1520075649
0.0005956680,0.1431584562
0.0005976680,0.1342905366
0.0005996680,0.1254051592
0.0006016680,0.1165036806
0.0006036680,0.1075874603
0.0006056680,0.0986578612
0.0006076680,0.0897162482
0.0006096680,0.0807639892
0.0006116680,0.0718024540
0.0006136680,0.0628330146
0.0006156680,0.0538570447
0.0006176680,0.0448759196
0.0006196680,0.0358910158
0.0006216680,0.0269037113
0.0006236680,0.0179153844
0.0006256680,0.0089274146
0.0006276680,-0.0000588185
0.0006296680,-0.0090419348
0.0006316680,-0.0180205545
0.0006336680,-0.0269932979
0.0006356680,-0.0359587857
0.0006376680,-0.0449156393
0.0006396680,-0.0538624811
0.0006416680,-0.0627979345
0.0006436680,-0.0717206243
0.0006456680,-0.0806291769
0.0006476680,-0.0895222204
0.0006496680,-0.0983983851
0.0006516680,-0.1072563033
0.0006536680,-0.1160946099
0.0006556680,-0.1249119425
0.0006576680,-0.1337069415
0.0006596680,-0.1424782505
0.0006616680,-0.1512245164
0.0006636680,-0.1599443897
0.0006656680,-0.1686365246
0.0006676680,-0.1772995794
0.0006696680,-0.1859322164
0.0006716680,-0.1945331027
